,a,p,q,num_vol,rolling,distance_threshold,retrace_threshold,offset_threshold,duration,average_holding_duration,profit,return,max_drawDown,caimar_ratio,trade_times,win_rate,profit_factor,sharp_ratio,start_date,end_date
0,0.9500000000000003,1.0,1.0,1.0,20.0,0.01,0.08999999999999998,0.085,360.0,250.0,232454.1015625,0.2324541015624999,0.1601878391470436,1.4511345105861617,1.0,0.0,,0.05542472040669256,2018-01-01,2018-12-31
1,0.7000000000000002,1.0,1.0,1.0,20.0,0.10999999999999997,0.01,0.025,361.0,19.181818181818183,278639.84375,0.27863984374999995,0.15549605451194004,1.7919415680647002,11.0,0.2727272727272727,2.24570713521626,0.08028468905209976,2018-07-08,2019-07-07
2,0.5500000000000002,1.0,1.0,1.0,20.0,0.10999999999999997,0.01,0.01,361.0,11.823529411764707,524875.9765625,0.5248759765625,0.047969035595399445,10.941974756166228,17.0,0.6470588235294118,13.54071890418767,0.19928800342095626,2019-01-12,2020-01-11
3,0.40000000000000013,1.0,1.0,1.0,20.0,0.10999999999999997,0.049999999999999996,0.04,364.0,42.4,1138612.109375,1.138612109375,0.14134706361321048,8.055435183929664,5.0,0.6,92.22370337455874,0.21873238494446828,2019-07-19,2020-07-17
4,0.3500000000000001,1.0,1.0,1.0,20.0,0.10999999999999997,0.03,0.04,357.0,40.2,1430968.1640625,1.4309681640625,0.12840495578351807,11.144181743849622,5.0,0.4,18.25575541580432,0.2323585558737544,2020-01-23,2021-01-21
5,0.45000000000000007,1.0,1.0,1.0,20.0,0.03,0.12999999999999998,0.1,364.0,83.0,761941.9921875,0.7619419921874999,0.1977769100865847,3.8525325926769183,3.0,0.3333333333333333,198.53250168164863,0.106429323464256,2020-07-29,2021-07-28
6,0.9500000000000003,1.0,1.0,1.0,20.0,0.12999999999999998,0.03,0.01,358.0,5.3478260869565215,578305.2734375,0.5783052734375,0.09334723003579704,6.195205505463098,23.0,0.43478260869565216,2.4079827673593512,0.12536490077640353,2021-02-02,2022-02-01
7,0.1,1.0,1.0,1.0,20.0,0.10999999999999997,0.08999999999999998,0.04,364.0,26.4,401726.3671875,0.4017263671875,0.2496411257590465,1.6092154927038989,5.0,0.6,15.136058595697358,0.06924919663506349,2021-08-09,2022-08-08
8,0.30000000000000004,1.0,1.0,1.0,20.0,0.06999999999999999,0.03,0.085,352.0,59.75,950527.9296875,0.9505279296875,0.16689503868021116,5.6953636081945715,4.0,0.75,,0.12399248527399541,2022-02-23,2023-02-12
9,0.1,1.0,1.0,1.0,20.0,0.08999999999999998,0.049999999999999996,0.07,361.0,121.0,791374.21875,0.7913742187499999,0.128076641063676,6.178911409431416,2.0,0.5,,0.13303925932892127,2022-08-20,2023-08-19
